Column1;Column10;SAMPLE TEXT 1

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_495_M;Pelts are cheaper now.;SAMPLE TEXT 5215

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_495_F;;SAMPLE TEXT 5216

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_738_M;Ye...[w:0.3] ever since that defeat...;SAMPLE TEXT 5217

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_738_F;;SAMPLE TEXT 5218

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_022_M;Well ye don't want to hear it.;SAMPLE TEXT 5219

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_022_F;;SAMPLE TEXT 5220

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_047_M;Cheaper prices.[w:0.3] Enjoy.;SAMPLE TEXT 5221

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#1_047_F;;SAMPLE TEXT 5222

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#2_739_M;Ye won't find cheaper pelts within a hunnerd miles!;SAMPLE TEXT 5223

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#2_739_F;;SAMPLE TEXT 5224

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#3_069_M;Get 'em while ye can...;SAMPLE TEXT 5225

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#3_069_F;;SAMPLE TEXT 5226

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#4_655_M;And cheap...;SAMPLE TEXT 5227

SPECIAL_NODES_TRAPPERINTROREDUCEDCOST_REPEAT_#4_655_F;;SAMPLE TEXT 5228

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_288_M;Yep.[w:0.3] I'm P03.[w:0.3] OK?;SAMPLE TEXT 5229

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_288_F;;SAMPLE TEXT 5230

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_593_M;You picked my starter deck.[w:0.3] That means you have to learn to use [c:dB]Energy[c:]...;SAMPLE TEXT 5231

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_593_F;;SAMPLE TEXT 5232

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_863_M;Do I really have to explain this to you?;SAMPLE TEXT 5233

GBC_TUTORIAL_RESOURCETUTORIALENERGY1_863_F;;SAMPLE TEXT 5234

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_648_M;At the start of each turn you increase your [c:dB]Max Energy[c:].;SAMPLE TEXT 5235

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_648_F;;SAMPLE TEXT 5236

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_523_M;Spend it or not, [w:0.3]doesn't matter.[w:0.4] At the start of your turn,[w:0.2] your [c:dB]Energy[c:] refills to the [c:dB]Max.[c:];SAMPLE TEXT 5237

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_523_F;;SAMPLE TEXT 5238

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_247_M;Get it?;SAMPLE TEXT 5239

GBC_TUTORIAL_RESOURCETUTORIALENERGY2_247_F;;SAMPLE TEXT 5240

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_925_M;See that?[w:0.3] You spent your [c:dB]Energy[c:] to play the card.[w:0.3] But you get it back next turn.;SAMPLE TEXT 5241

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_925_F;;SAMPLE TEXT 5242

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_732_M;Sick of hearing from me?[w:0.3] Well I'm sick of talking.[w:0.3] I've got important work to do.;SAMPLE TEXT 5243

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_732_F;;SAMPLE TEXT 5244

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_421_M;You'll see me later.;SAMPLE TEXT 5245

GBC_TUTORIAL_RESOURCETUTORIALENERGY3_421_F;;SAMPLE TEXT 5246

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_770_M;Greetings.[w:0.3] My consciousness has been summoned it seems...[w:0.3] But for what purpose?;SAMPLE TEXT 5247

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_770_F;;SAMPLE TEXT 5248

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_994_M;Ah![w:0.3] You have selected my starter deck and require a short lesson.;SAMPLE TEXT 5249

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_994_F;;SAMPLE TEXT 5250

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_210_M;You see,[w:0.3] Magickal cards are powered by [c:dlGr]M[c:brnO]o[c:dSG]x[c:].[w:0.3] Though some refer to them as [c:dlGr]G[c:brnO]e[c:dSG]m[c:]s.;SAMPLE TEXT 5251

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_210_F;;SAMPLE TEXT 5252

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_670_M;If you have one of these [c:dlGr]M[c:brnO]o[c:dSG]x[c:][w:0.2] on the board, you may play cards with that cost.[w:0.3] Start by playing one.;SAMPLE TEXT 5253

GBC_TUTORIAL_RESOURCETUTORIALGEMS1_670_F;;SAMPLE TEXT 5254

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_289_M;You see?[w:0.3] Now you may play Magickal cards of that [c:dlGr]G[c:brnO]e[c:dSG]m[c:]'s color.;SAMPLE TEXT 5255

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_289_F;;SAMPLE TEXT 5256

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_277_M;It is quite simple really.[w:0.3] I cannot comprehend how my students sometimes struggle.;SAMPLE TEXT 5257

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_277_F;;SAMPLE TEXT 5258

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_284_M;But I have digressed.[w:0.3] Carry on.[w:0.3] I await you atop my tower.;SAMPLE TEXT 5259

GBC_TUTORIAL_RESOURCETUTORIALGEMS2_284_F;;SAMPLE TEXT 5260

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_385_M;[c:gray]You froze in fear as the words of the great Scrybe of Beasts entered your skull uninvited.[c:];SAMPLE TEXT 5261

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_385_F;;SAMPLE TEXT 5262

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_934_M;Fear not,[w:0.3] I only wish to explain to you the deck that you selected.;SAMPLE TEXT 5263

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_934_F;;SAMPLE TEXT 5264

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_380_M;In order to play my cards...[w:0.3] sacrifices must be made.;SAMPLE TEXT 5265

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_380_F;;SAMPLE TEXT 5266

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_749_M;[c:gray]The Scrybe assessed your reaction,[w:0.3] noting that you did not seem surprised by this information.[c:];SAMPLE TEXT 5267

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_749_F;;SAMPLE TEXT 5268

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_865_M;Perhaps you need no lesson.[w:0.3] But remember that almost anything can be sacrificed.;SAMPLE TEXT 5269

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_865_F;;SAMPLE TEXT 5270

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_437_M;It may bleed oil,[w:0.3] or even marrow.[w:0.3] But if it bleeds...[w:0.3] Well,[w:0.3] you know what to do.;SAMPLE TEXT 5271

GBC_TUTORIAL_RESOURCETUTORIALBLOOD_437_F;;SAMPLE TEXT 5272

GBC_TUTORIAL_RESOURCETUTORIALBONES_562_M;Marvelous![w:0.3] Your first battle.;SAMPLE TEXT 5273

GBC_TUTORIAL_RESOURCETUTORIALBONES_562_F;;SAMPLE TEXT 5274

GBC_TUTORIAL_RESOURCETUTORIALBONES_873_M;Are you surprised to see me here?[w:0.3] But you did select my starter deck.;SAMPLE TEXT 5275

GBC_TUTORIAL_RESOURCETUTORIALBONES_873_F;;SAMPLE TEXT 5276

GBC_TUTORIAL_RESOURCETUTORIALBONES_050_M;In order to play my cards,[w:0.3] you will need to collect [c:gray]bones[c:]. You gain a [c:gray]bone[c:] when...;SAMPLE TEXT 5277

GBC_TUTORIAL_RESOURCETUTORIALBONES_050_F;;SAMPLE TEXT 5278

GBC_TUTORIAL_RESOURCETUTORIALBONES_768_M;Why do your eyes glaze over?[w:0.3] Hm![w:0.5] Marvelous.[w:0.5] You already understand.;SAMPLE TEXT 5279

GBC_TUTORIAL_RESOURCETUTORIALBONES_768_F;;SAMPLE TEXT 5280

GBC_TUTORIAL_RESOURCETUTORIALBONES_419_M;My time as an insect was not a total waste.;SAMPLE TEXT 5281

GBC_TUTORIAL_RESOURCETUTORIALBONES_419_F;;SAMPLE TEXT 5282

GBC_WORLD_WIZARDTEMPLENOTEDESK_589_M;The note reads: [c:gray]Dearest Grimora, I believe P03's plot may go far past the extent of a common power grab.;SAMPLE TEXT 5283

GBC_WORLD_WIZARDTEMPLENOTEDESK_589_F;;SAMPLE TEXT 5284

GBC_WORLD_WIZARDTEMPLENOTEDESK_860_M;[c:gray]Indeed, this "Great Transcendence" will have catastrophic and unpredictable results.;SAMPLE TEXT 5285

GBC_WORLD_WIZARDTEMPLENOTEDESK_860_F;;SAMPLE TEXT 5286

GBC_WORLD_WIZARDTEMPLENOTEDESK_697_M;The note is incomplete and ends abruptly: [c:gray]I urge you to consider-[c:];SAMPLE TEXT 5287

GBC_WORLD_WIZARDTEMPLENOTEDESK_697_F;;SAMPLE TEXT 5288

GBC_NPC_PROSPECTORNPCMEATREMINDER_752_M;Dag nab it,[w:0.2] I can[w:0.2] [c:R]smell[c:][w:0.2] that [c:R]meat[c:] on ye!;SAMPLE TEXT 5289

GBC_NPC_PROSPECTORNPCMEATREMINDER_752_F;;SAMPLE TEXT 5290

GBC_NPC_PROSPECTORNPCMEATREMINDER_359_M;And I'm still missin' that dang hound...[w:0.3] Can't ye put a little in her [c:R]bowl[c:]?;SAMPLE TEXT 5291

GBC_NPC_PROSPECTORNPCMEATREMINDER_359_F;;SAMPLE TEXT 5292

HOLDABLEGEMSMODULE_891_M;You can change the color of the gems you draw from your Side Deck.;SAMPLE TEXT 5293

HOLDABLEGEMSMODULE_891_F;;SAMPLE TEXT 5294

GRIMORAGAMEFLOWMANAGER_048_M;It is time to rest.;SAMPLE TEXT 5295

GRIMORAGAMEFLOWMANAGER_048_F;;SAMPLE TEXT 5296

MAGNIFICUSGAMEFLOWMANAGER_872_M;I must... still...;SAMPLE TEXT 5297

MAGNIFICUSGAMEFLOWMANAGER_872_F;;SAMPLE TEXT 5298

MAGNIFICUSGAMEFLOWMANAGER_301_M;Shake your hand...;SAMPLE TEXT 5299

MAGNIFICUSGAMEFLOWMANAGER_301_F;;SAMPLE TEXT 5300

BUILDTOTEMSEQUENCER_890_M;Choose.;SAMPLE TEXT 5301

BUILDTOTEMSEQUENCER_890_F;;SAMPLE TEXT 5302

BUYPELTSSEQUENCER_463_M;You'll need more teeth for that one.;SAMPLE TEXT 5303

BUYPELTSSEQUENCER_463_F;;SAMPLE TEXT 5304

CARDMERGESEQUENCER_743_M;You stumbled into some strange stones in the mist.;SAMPLE TEXT 5305

CARDMERGESEQUENCER_743_F;;SAMPLE TEXT 5306

CARDMERGESEQUENCER_140_M;You were compelled to choose a worthy [c:bR]sacrifice.[c:] One that will be lost forever...;SAMPLE TEXT 5307

CARDMERGESEQUENCER_140_F;;SAMPLE TEXT 5308

CARDMERGESEQUENCER_330_M;You looked upon your menagerie and selected a healthy [c:bR]host.[c:];SAMPLE TEXT 5309

CARDMERGESEQUENCER_330_F;;SAMPLE TEXT 5310

CARDMERGESEQUENCER_014_M;There are no compatible sacrifices... It won't work.;SAMPLE TEXT 5311

CARDMERGESEQUENCER_014_F;;SAMPLE TEXT 5312

CARDREMOVESEQUENCER_245_M;You came across some familiar stones. But there was something different...;SAMPLE TEXT 5313

CARDREMOVESEQUENCER_245_F;;SAMPLE TEXT 5314

CARDREMOVESEQUENCER_260_M;You intuited that the fate of the creature selected for this... would not be pleasant.;SAMPLE TEXT 5315

CARDREMOVESEQUENCER_260_F;;SAMPLE TEXT 5316

CARDREMOVESEQUENCER_617_M;You callously slaughtered the [c:bR]{0}[c:]...;SAMPLE TEXT 5317

CARDREMOVESEQUENCER_617_F;;SAMPLE TEXT 5318

CARDREMOVESEQUENCER_268_M;However, the [c:bR]Bone Lord[c:] was pleased by your sacrifice.;SAMPLE TEXT 5319

CARDREMOVESEQUENCER_268_F;;SAMPLE TEXT 5320

CARDREMOVESEQUENCER_408_M;You shook off the viscera of the poor [c:bR]{0}[c:] and carried onwards.;SAMPLE TEXT 5321

CARDREMOVESEQUENCER_408_F;;SAMPLE TEXT 5322

CARDREMOVESEQUENCER_960_M;A [c:bR]{0}[c:]. {1};SAMPLE TEXT 5323

CARDREMOVESEQUENCER_960_F;;SAMPLE TEXT 5324

CARDSINGLECHOICESSEQUENCER_571_M;Only [c:bR]1[c:] may grace your paltry deck.;SAMPLE TEXT 5325

CARDSINGLECHOICESSEQUENCER_571_F;;SAMPLE TEXT 5326

CARDSINGLECHOICESSEQUENCER_312;Bone;SAMPLE TEXT 5327

CARDSINGLECHOICESSEQUENCER_695_M;Another creature joins your caravan.;SAMPLE TEXT 5328

CARDSINGLECHOICESSEQUENCER_695_F;;SAMPLE TEXT 5329

DEATHCARDCREATIONSEQUENCER_544_M;...Nothing?;SAMPLE TEXT 5330

DEATHCARDCREATIONSEQUENCER_544_F;;SAMPLE TEXT 5331

DEATHCARDCREATIONSEQUENCER_612_M;That's all you had?;SAMPLE TEXT 5332

DEATHCARDCREATIONSEQUENCER_612_F;;SAMPLE TEXT 5333

DEATHCARDCREATIONSEQUENCER_754_M;I never did ask you your name...;SAMPLE TEXT 5334

DEATHCARDCREATIONSEQUENCER_754_F;;SAMPLE TEXT 5335

DEATHCARDCREATIONSEQUENCER_730_M;Please. Inscribe your name.;SAMPLE TEXT 5336

DEATHCARDCREATIONSEQUENCER_730_F;;SAMPLE TEXT 5337

DEATHCARDCREATIONSEQUENCER_019_M;Please, choose a card to draw the [c:bR]cost[c:] from.;SAMPLE TEXT 5338

DEATHCARDCREATIONSEQUENCER_019_F;;SAMPLE TEXT 5339

DEATHCARDCREATIONSEQUENCER_204_M;And another. This time I will use its [c:bR]power and health[c:]. The numbers.;SAMPLE TEXT 5340

DEATHCARDCREATIONSEQUENCER_204_F;;SAMPLE TEXT 5341

DEATHCARDCREATIONSEQUENCER_020_M;Now choose a card from which we will extract the [c:bR]sigils[c:].;SAMPLE TEXT 5342

DEATHCARDCREATIONSEQUENCER_020_F;;SAMPLE TEXT 5343

DEATHCARDCREATIONSEQUENCER_930_M;A cost of [c:bR]{0} blood[c:] from the [c:bR]{1}[c:].;SAMPLE TEXT 5344

DEATHCARDCREATIONSEQUENCER_930_F;;SAMPLE TEXT 5345

DEATHCARDCREATIONSEQUENCER_864_M;A cost of [c:bR]{0} bones[c:] from the [c:bR]{1}[c:].;SAMPLE TEXT 5346

DEATHCARDCREATIONSEQUENCER_864_F;;SAMPLE TEXT 5347

DEATHCARDCREATIONSEQUENCER_047_M;A cost of... [c:bR]free[c:]... from the [c:bR]{0}[c:].;SAMPLE TEXT 5348

DEATHCARDCREATIONSEQUENCER_047_F;;SAMPLE TEXT 5349

DEATHCARDCREATIONSEQUENCER_273_M;[c:bR]{0} Power[c:] and [c:bR]{1} Health[c:] from the [c:bR]{2}[c:].;SAMPLE TEXT 5350

DEATHCARDCREATIONSEQUENCER_273_F;;SAMPLE TEXT 5351

DEATHCARDCREATIONSEQUENCER_352_M;A [c:bR]Sigil of {0}[c:] from the [c:bR]{1}[c:].;SAMPLE TEXT 5352

DEATHCARDCREATIONSEQUENCER_352_F;;SAMPLE TEXT 5353

DEATHCARDCREATIONSEQUENCER_191_M;A [c:bR]Sigil of {0}[c:] and a [c:bR]Sigil of {1}[c:] from the [c:bR]{2}[c:].;SAMPLE TEXT 5354

DEATHCARDCREATIONSEQUENCER_191_F;;SAMPLE TEXT 5355

DECKTRIALSEQUENCER_149_M;Hmm... {0}, {1}, and {2}...;SAMPLE TEXT 5356

DECKTRIALSEQUENCER_149_F;;SAMPLE TEXT 5357

DECKTRIALSEQUENCER_169;card with the [c:bR]Waterborne[c:] sigil;SAMPLE TEXT 5358

DECKTRIALSEQUENCER_679;!DELETED!;SAMPLE TEXT 5359

DECKTRIALSEQUENCER_422;card with the [c:bR]Airborne[c:] sigil;SAMPLE TEXT 5360

DECKTRIALSEQUENCER_765;Rare card;SAMPLE TEXT 5361

DECKTRIALSEQUENCER_366;Pelt card;SAMPLE TEXT 5362

DECKTRIALSEQUENCER_997;Ring Worm;SAMPLE TEXT 5363

DECKTRIALSEQUENCER_018_M;!DELETED!;SAMPLE TEXT 5364

DECKTRIALSEQUENCER_018_F;;SAMPLE TEXT 5365

DECKTRIALSEQUENCER_002_M;Ah, [c:bR]{0}[c:] is a {1}.;SAMPLE TEXT 5366

DECKTRIALSEQUENCER_002_F;;SAMPLE TEXT 5367

DECKTRIALSEQUENCER_301_M;Hmmm... Not a single {0}...;SAMPLE TEXT 5368

DECKTRIALSEQUENCER_301_F;;SAMPLE TEXT 5369

DECKTRIALSEQUENCER_158_M;{0} from the {1}... {2} from the {3}... {4} from the {5}...;SAMPLE TEXT 5370

DECKTRIALSEQUENCER_158_F;;SAMPLE TEXT 5371

DECKTRIALSEQUENCER_052_M;The beast revealed itself. It was...;SAMPLE TEXT 5372

DECKTRIALSEQUENCER_052_F;;SAMPLE TEXT 5373

DECKTRIALSEQUENCER_511_M;The [c:bSG]Inhabited {0}[c:] joined your menagerie.;SAMPLE TEXT 5374

DECKTRIALSEQUENCER_511_F;;SAMPLE TEXT 5375

DECKTRIALSEQUENCER_246_M;You arrived at the inky black mouth of a cave.;SAMPLE TEXT 5376

DECKTRIALSEQUENCER_246_F;;SAMPLE TEXT 5377

GAINCONSUMABLESSEQUENCER_908_M;Choose one.;SAMPLE TEXT 5378

GAINCONSUMABLESSEQUENCER_908_F;;SAMPLE TEXT 5379

GAINCONSUMABLESSEQUENCER_258_M;Feeling overburdened enough with a full 3 items, you carried on.;SAMPLE TEXT 5380

GAINCONSUMABLESSEQUENCER_258_F;;SAMPLE TEXT 5381

GAINCONSUMABLESSEQUENCER_887_M;And have a second...;SAMPLE TEXT 5382

GAINCONSUMABLESSEQUENCER_887_F;;SAMPLE TEXT 5383

GAINCONSUMABLESSEQUENCER_790_M;Three is as much as you can carry.;SAMPLE TEXT 5384

GAINCONSUMABLESSEQUENCER_790_F;;SAMPLE TEXT 5385

BUILDACARDINFO_009;BIG;SAMPLE TEXT 5386

BUILDACARDINFO_368;LIL;SAMPLE TEXT 5387

BUILDACARDINFO_606;TALL;SAMPLE TEXT 5388

BUILDACARDINFO_647;HOLY;SAMPLE TEXT 5389

BUILDACARDINFO_614;NOT;SAMPLE TEXT 5390

BUILDACARDINFO_750;THE;SAMPLE TEXT 5391

BUILDACARDINFO_586;DAT;SAMPLE TEXT 5392

BUILDACARDINFO_713;ST.;SAMPLE TEXT 5393

BUILDACARDINFO_179;DR.;SAMPLE TEXT 5394

BUILDACARDINFO_080;MRS.;SAMPLE TEXT 5395

BUILDACARDINFO_767;MR.;SAMPLE TEXT 5396

BUILDACARDINFO_051;FAT;SAMPLE TEXT 5397

BUILDACARDINFO_187;SMART;SAMPLE TEXT 5398

BUILDACARDINFO_533;GOOD;SAMPLE TEXT 5399

BUILDACARDINFO_320;HELP;SAMPLE TEXT 5400

BUILDACARDINFO_264;SHOOT;SAMPLE TEXT 5401

BUILDACARDINFO_343;LOOT;SAMPLE TEXT 5402

BUILDACARDINFO_406;TOOT;SAMPLE TEXT 5403

BUILDACARDINFO_952;LOL;SAMPLE TEXT 5404

BUILDACARDINFO_591;SCREW;SAMPLE TEXT 5405

BUILDACARDINFO_447;FIRE;SAMPLE TEXT 5406

BUILDACARDINFO_611;BOI;SAMPLE TEXT 5407

BUILDACARDINFO_680;ESQ.;SAMPLE TEXT 5408

BUILDACARDINFO_588;ROBO;SAMPLE TEXT 5409

BUILDACARDINFO_530;THING;SAMPLE TEXT 5410

BUILDACARDINFO_087;YOU;SAMPLE TEXT 5411

BUILDACARDINFO_916;BOT;SAMPLE TEXT 5412

BUILDACARDINFO_123;MATIC;SAMPLE TEXT 5413

BUILDACARDSCREEN_483;{0} SP;SAMPLE TEXT 5414

BUILDACARDSEQUENCER_621_M;Alright, genius. Go for it.;SAMPLE TEXT 5415

BUILDACARDSEQUENCER_621_F;;SAMPLE TEXT 5416

BUILDACARDSEQUENCER_318_M;Spend [c:bR]SP[c:] on stats and sigils. You get more SP for a higher energy cost.;SAMPLE TEXT 5417

BUILDACARDSEQUENCER_318_F;;SAMPLE TEXT 5418

PART3DECKREVIEWSEQUENCER_591_M;Other one.;SAMPLE TEXT 5419

PART3DECKREVIEWSEQUENCER_591_F;;SAMPLE TEXT 5420

HOURGLASSITEM_238_M;I'll pass my next turn.;SAMPLE TEXT 5421

HOURGLASSITEM_238_F;;SAMPLE TEXT 5422

SCISSORSITEM_967_M;You can't cut that... It's too thick.;SAMPLE TEXT 5423

SCISSORSITEM_967_F;;SAMPLE TEXT 5424

HOLOMAPSHOPNODE_639;{0} ROBOBUCKS;SAMPLE TEXT 5425

RULEBOOKCONTROLLER_649_M;Behold. The [c:bR]Rule Book[c:].;SAMPLE TEXT 5426

RULEBOOKCONTROLLER_649_F;;SAMPLE TEXT 5427

RULEBOOKINFO_197;APPENDIX XII, SUBSECTION VI - ABILITIES {0};SAMPLE TEXT 5428

RULEBOOKINFO_074;APPENDIX XII, SUBSECTION VII - VARIABLE STATS {0};SAMPLE TEXT 5429

RULEBOOKINFO_072;APPENDIX XII, SUBSECTION VIII - BOONS {0};SAMPLE TEXT 5430

RULEBOOKINFO_757;APPENDIX XII, SUBSECTION IX - ITEMS {0};SAMPLE TEXT 5431

RULEBOOKPAGE_235;A {0} is defined as: {1} Power, {2} Health{3}.;SAMPLE TEXT 5432

ABILITYPAGECONTENT_378;a card bearing this sigil;SAMPLE TEXT 5433

ITEMPAGE_321;To the user: {0};SAMPLE TEXT 5434

ABILITYINFO_623;Activate: {0};SAMPLE TEXT 5435

EVOLVE_701;Elder {0};SAMPLE TEXT 5436

LATCH_922_M;It's already latched...;SAMPLE TEXT 5437

LATCH_922_F;;SAMPLE TEXT 5438

TAILONHIT_306;{0} Tail;SAMPLE TEXT 5439

CAGEDWOLF_586_M;What was that?;SAMPLE TEXT 5440

CAGEDWOLF_586_F;;SAMPLE TEXT 5441

EXCESSDAMAGEPANEL_269;EXCESS DAMAGE;SAMPLE TEXT 5442

EXCESSDAMAGEPANEL_147;Foils Gained!;SAMPLE TEXT 5443

PIXELCARDDRAWPILES_314_M;You are out of cards. Starvation sets in!;SAMPLE TEXT 5444

PIXELCARDDRAWPILES_314_F;;SAMPLE TEXT 5445

PIXELCOMBATPHASEMANAGER_115_M;{0} was dealt overkill damage!;SAMPLE TEXT 5446

PIXELCOMBATPHASEMANAGER_115_F;;SAMPLE TEXT 5447

BOUNTYHUNTERGENERATOR_719;Barry;SAMPLE TEXT 5448

BOUNTYHUNTERGENERATOR_790;Bolt;SAMPLE TEXT 5449

BOUNTYHUNTERGENERATOR_896;Gear;SAMPLE TEXT 5450

BOUNTYHUNTERGENERATOR_272;Zap;SAMPLE TEXT 5451

BOUNTYHUNTERGENERATOR_066;Rust;SAMPLE TEXT 5452

BOUNTYHUNTERGENERATOR_843;Clain;SAMPLE TEXT 5453

BOUNTYHUNTERGENERATOR_675;Clank;SAMPLE TEXT 5454

BOUNTYHUNTERGENERATOR_441;Tank;SAMPLE TEXT 5455

BOUNTYHUNTERGENERATOR_460;Gun;SAMPLE TEXT 5456

BOUNTYHUNTERGENERATOR_783;Shoot;SAMPLE TEXT 5457

BOUNTYHUNTERGENERATOR_584;Maksim;SAMPLE TEXT 5458

BOUNTYHUNTERGENERATOR_087;Wilkin;SAMPLE TEXT 5459

BOUNTYHUNTERGENERATOR_603;Kaycee;SAMPLE TEXT 5460

BOUNTYHUNTERGENERATOR_615;Hobbes;SAMPLE TEXT 5461

BOUNTYHUNTERGENERATOR_659;Grind;SAMPLE TEXT 5462

BOUNTYHUNTERGENERATOR_132;Blast;SAMPLE TEXT 5463

BOUNTYHUNTERGENERATOR_350;Crash;SAMPLE TEXT 5464

BOUNTYHUNTERGENERATOR_660;Moon;SAMPLE TEXT 5465

BOUNTYHUNTERGENERATOR_361;Zip;SAMPLE TEXT 5466

BOUNTYHUNTERGENERATOR_917;son;SAMPLE TEXT 5467

BOUNTYHUNTERGENERATOR_013;stein;SAMPLE TEXT 5468

BOUNTYHUNTERGENERATOR_363;dottir;SAMPLE TEXT 5469

BOUNTYHUNTERGENERATOR_304;vic;SAMPLE TEXT 5470

BOUNTYHUNTERGENERATOR_098;berg;SAMPLE TEXT 5471

BOUNTYHUNTERGENERATOR_733;sky;SAMPLE TEXT 5472

BOUNTYHUNTERGENERATOR_459;ski;SAMPLE TEXT 5473

BOUNTYHUNTERGENERATOR_189;Mac;SAMPLE TEXT 5474

BOUNTYHUNTERGENERATOR_567;Mc;SAMPLE TEXT 5475

BOUNTYHUNTERGENERATOR_587;!DELETED!;SAMPLE TEXT 5476

BOUNTYHUNTERGENERATOR_335;!DELETED!;SAMPLE TEXT 5477

SAVEFILE_852;Reginald;SAMPLE TEXT 5478

SAVEFILE_247;Louis;SAMPLE TEXT 5479

SAVEFILE_286;Kaminski;SAMPLE TEXT 5480

SAVEMANAGER_763;LAST SAVED 1 SECOND AGO;SAMPLE TEXT 5481

SAVEMANAGER_337;LAST SAVED {0} SECONDS AGO;SAMPLE TEXT 5482

SAVEMANAGER_980;LAST SAVED 1 MINUTE AGO;SAMPLE TEXT 5483

SAVEMANAGER_660;LAST SAVED {0} MINUTES AGO;SAMPLE TEXT 5484

PICKUPCARDPILEVOLUME_768;Take the deck.;SAMPLE TEXT 5485

PICKUPCARDPILEVOLUME_439;Leave it.;SAMPLE TEXT 5486

PICKUPCARDPILEVOLUME_834_M;The cards were added to your collection.;SAMPLE TEXT 5487

PICKUPCARDPILEVOLUME_834_F;;SAMPLE TEXT 5488

MYCOLOGISTSDIALOGUENPC_773_M;Sacrifice [c:R]2[c:] of your [c:R]{0}[c:] cards?;SAMPLE TEXT 5489

MYCOLOGISTSDIALOGUENPC_773_F;;SAMPLE TEXT 5490

SAFEVOLUME_568_M;There is a faint odor where the meat once was.;SAMPLE TEXT 5491

SAFEVOLUME_568_F;;SAMPLE TEXT 5492

SAFEVOLUME_659_M;You take a stinking pile of meat from the safe.;SAMPLE TEXT 5493

SAFEVOLUME_659_F;;SAMPLE TEXT 5494

SHARKRODVOLUME_946_M;Place the photo of bait on the line?;SAMPLE TEXT 5495

SHARKRODVOLUME_946_F;;SAMPLE TEXT 5496

SHARKRODVOLUME_959;Place it.;SAMPLE TEXT 5497

